date,freq
2017,2.31446255576e-06
2016,8.55519081925e-07
2015,5.48617944773e-06
2014,3.37793020091e-06
2013,1.21086081609e-06
2012,1.19520007649e-06
2011,5.88641976471e-07
2010,2.92867704922e-07
2009,1.11737305595e-05
2008,1.10332409483e-06
2007,1.14995301005e-06
2006,2.55153896072e-06
2005,1.29498306669e-05
2004,3.10765452035e-06
2003,1.32441638121e-05
2002,2.19544752002e-06
2001,1.30849333208e-06
2000,9.24942746044e-07
1999,1.68022193079e-05
1998,1.17512097394e-05
1997,1.90089690115e-05
1996,1.8751394635e-06
1995,1.8401143079e-06
1994,1.19158798462e-06
1993,2.20914591933e-06
1992,7.96581285544e-07
1991,0.0
1990,2.73586447224e-06
1989,5.19408207065e-07
1988,6.724750579e-06
1987,1.0573324615e-05
1986,8.4081518714e-07
1985,1.69381188412e-06
1984,2.41822828236e-06
1983,3.72788931495e-06
1982,2.30820011172e-06
1981,1.19220097886e-06
1980,1.63753813826e-06
1979,1.01337485918e-06
1978,1.7131472056e-06
1977,1.67187399688e-06
1976,1.62134204967e-06
1975,1.38346790441e-06
1974,2.01710030401e-06
1973,2.74203515906e-06
1972,7.07603410931e-07
1971,3.19478384093e-06
1970,1.80167000396e-06
1969,1.80938557247e-06
1968,3.02810650608e-06
1967,1.49835012921e-06
1966,4.07270745446e-06
1965,5.8645110288e-06
1964,1.05327421994e-05
1963,5.68755097468e-06
1962,8.84886342383e-06
1961,4.11308854698e-06
1960,7.8160737969e-06
1959,2.871904446e-06
1958,3.89083022103e-06
1957,5.28324116279e-06
1956,4.43995121382e-06
1955,6.06374394209e-06
1954,1.9537899373e-06
1953,2.43332566025e-06
1952,5.85090822053e-06
1951,1.65621502971e-06
1950,5.20703157544e-07
1949,2.0313921181e-06
1948,2.7303321886e-06
1947,1.08334145839e-06
1946,0.0
1945,2.00388486479e-06
1944,6.48928003385e-07
1943,0.0
1942,0.0
1941,5.5798433738e-07
1940,5.66784822409e-07
1939,0.0
1938,0.0
1937,1.02572676588e-06
1936,4.28519883751e-07
1935,8.61836418277e-07
1934,0.0
1933,0.0
1932,0.0
1931,0.0
1930,0.0
1929,0.0
1928,0.0
1927,0.0
1926,0.0
1925,0.0
1924,0.0
1923,5.09537004106e-07
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,0.0
1907,0.0
1906,6.15561897211e-07
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,6.75135567222e-07
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
