date,freq
2017,0.0
2016,2.85173027308e-07
2015,0.0
2014,0.0
2013,6.05430408045e-07
2012,0.0
2011,0.0
2010,0.0
2009,0.0
2008,0.0
2007,2.87488252511e-07
2006,2.83504328969e-07
2005,0.0
2004,2.82514047305e-07
2003,0.0
2002,0.0
2001,0.0
2000,0.0
1999,0.0
1998,3.17600263227e-07
1997,0.0
1996,3.12523243916e-07
1995,0.0
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
1989,2.59704103533e-07
1988,2.6899002316e-07
1987,0.0
1986,0.0
1985,0.0
1984,2.68692031374e-07
1983,0.0
1982,0.0
1981,0.0
1980,0.0
1979,3.37791619728e-07
1978,0.0
1977,0.0
1976,0.0
1975,3.45866976102e-07
1974,0.0
1973,6.85508789765e-07
1972,0.0
1971,0.0
1970,0.0
1969,0.0
1968,0.0
1967,3.74587532303e-07
1966,0.0
1965,3.9096740192e-07
1964,3.90101562942e-07
1963,3.79170064978e-07
1962,0.0
1961,0.0
1960,8.227446102e-07
1959,4.10272063714e-07
1958,1.29694340701e-06
1957,0.0
1956,4.43995121382e-07
1955,0.0
1954,4.88447484324e-07
1953,4.86665132049e-07
1952,0.0
1951,1.10414335314e-06
1950,0.0
1949,0.0
1948,0.0
1947,0.0
1946,0.0
1945,0.0
1944,6.48928003385e-07
1943,0.0
1942,0.0
1941,0.0
1940,5.66784822409e-07
1939,0.0
1938,5.50051374798e-07
1937,1.53859014882e-06
1936,4.28519883751e-07
1935,4.30918209138e-07
1934,1.27312904139e-06
1933,8.26851848407e-07
1932,4.25224305821e-07
1931,4.12742346828e-07
1930,4.33628214974e-07
1929,4.16343653382e-07
1928,0.0
1927,9.2328388071e-07
1926,4.73734276759e-07
1925,2.2915922854e-06
1924,9.26479239916e-07
1923,0.0
1922,5.80031936558e-07
1921,1.6184608114e-06
1920,8.8075695776e-07
1919,1.79845440828e-06
1918,7.42055002601e-07
1917,6.05503909436e-07
1916,1.14353215355e-06
1915,2.77938673388e-06
1914,1.6106733957e-06
1913,0.0
1912,0.0
1911,1.54616301609e-06
1910,1.50854742974e-06
1909,4.14386891285e-06
1908,0.0
1907,1.08018248603e-06
1906,0.0
1905,1.91162067838e-06
1904,1.31328817811e-06
1903,2.61042591057e-06
1902,0.0
1901,2.05629448879e-06
1900,6.24505079724e-07
1899,6.44540036893e-07
1898,1.97779985588e-06
1897,6.47471300835e-07
1896,6.29241084912e-07
1895,6.57135572326e-07
1894,2.52068855128e-06
1893,6.36883854676e-07
1892,2.57110057246e-06
1891,1.23620014328e-06
1890,1.31091064374e-06
1889,0.0
1888,0.0
1887,6.67149237949e-07
1886,6.75135567222e-07
1885,0.0
1884,6.95157463593e-07
1883,2.85222480665e-06
1882,2.75553259278e-06
1881,1.40152892791e-06
1880,2.10634663304e-06
1879,0.0
1878,0.0
1877,1.26321001877e-06
1876,1.27804836902e-06
1875,3.9519860047e-06
1874,1.35068513503e-06
1873,1.31905587257e-06
1872,1.36576012062e-06
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,3.42805036492e-06
1866,1.85733097824e-06
1865,0.0
1864,0.0
1863,1.77847019551e-06
1862,1.73770400645e-06
1861,0.0
1860,0.0
1859,0.0
1858,1.82642730728e-06
1857,1.76083928644e-06
1856,1.70912415932e-06
1855,1.75494015654e-06
1854,2.22704749179e-06
1853,1.96806615851e-06
1852,0.0
1851,1.69348010161e-06
1850,5.14917149831e-06
1849,1.73324043165e-06
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,2.02522621777e-06
1843,0.0
1842,0.0
1841,2.42056316823e-06
1840,0.0
1839,0.0
1838,2.73019651955e-06
1837,2.31147601612e-06
1836,0.0
1835,0.0
1834,2.07875141875e-06
1833,0.0
1832,0.0
1831,0.0
1830,2.27341963234e-06
1829,0.0
1828,2.60631144379e-06
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
