date,freq
2017,3.47169383364e-06
2016,1.99621119116e-06
2015,3.46495544067e-06
2014,3.68501476463e-06
2013,3.02715204022e-06
2012,3.8844002486e-06
2011,2.64888889412e-06
2010,1.46433852461e-06
2009,3.91080569581e-06
2008,2.20664818967e-06
2007,4.31232378767e-06
2006,1.41752164485e-06
2005,2.81518057976e-06
2004,2.82514047305e-07
2003,5.00335077344e-06
2002,3.44998896004e-06
2001,6.86958999343e-06
2000,3.08314248681e-06
1999,4.12686088264e-06
1998,6.987205791e-06
1997,2.89967323904e-06
1996,6.87551136616e-06
1995,8.58720010354e-06
1994,4.46845494233e-06
1993,6.90358099792e-06
1992,7.43475866508e-06
1991,7.33641749579e-06
1990,6.71530370458e-06
1989,6.23289848478e-06
1988,6.724750579e-06
1987,3.89543538447e-06
1986,5.60543458093e-06
1985,4.51683169099e-06
1984,1.04789892236e-05
1983,4.01465003149e-06
1982,6.34755030722e-06
1981,3.57660293657e-06
1980,4.25759915948e-06
1979,3.04012457755e-06
1978,1.7131472056e-06
1977,5.34999679e-06
1976,1.9456104596e-06
1975,2.42106883272e-06
1974,6.72366768004e-06
1973,4.79856152836e-06
1972,2.83041364373e-06
1971,3.90473580558e-06
1970,1.44133600317e-06
1969,7.59941940436e-06
1968,7.57026626519e-07
1967,2.62211272612e-06
1966,3.33221519001e-06
1965,8.99225024416e-06
1964,3.12081250354e-06
1963,2.27502038987e-06
1962,2.41332638832e-06
1961,1.23392656409e-06
1960,2.0568615255e-06
1959,6.1540809557e-06
1958,3.45851575203e-06
1957,2.2013504845e-06
1956,3.10796584967e-06
1955,1.3993255251e-06
1954,4.88447484324e-07
1953,2.43332566025e-06
1952,4.78710672588e-06
1951,4.41657341256e-06
1950,1.04140631509e-06
1949,5.07848029524e-07
1948,2.18426575088e-06
1947,2.70835364599e-06
1946,5.90818212326e-07
1945,1.33592324319e-06
1944,2.59571201354e-06
1943,1.97451298637e-06
1942,2.78405272328e-06
1941,3.34790602428e-06
1940,5.66784822409e-07
1939,5.58972742253e-07
1938,5.50051374798e-07
1937,5.12863382939e-06
1936,8.57039767502e-07
1935,4.30918209138e-07
1934,0.0
1933,0.0
1932,0.0
1931,4.12742346828e-07
1930,4.33628214974e-07
1929,0.0
1928,4.06332777606e-07
1927,9.2328388071e-07
1926,0.0
1925,3.66654765664e-06
1924,1.38971885987e-06
1923,0.0
1922,0.0
1921,8.092304057e-07
1920,1.76151391552e-06
1919,0.0
1918,7.42055002601e-07
1917,1.81651172831e-06
1916,3.43059646065e-06
1915,7.78228285485e-06
1914,3.2213467914e-06
1913,5.5676001305e-07
1912,1.58872050805e-06
1911,0.0
1910,5.02849143246e-07
1909,0.0
1908,0.0
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,0.0
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,0.0
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,0.0
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
