date,freq
2017,1.15723127788e-06
2016,3.99242238232e-06
2015,3.46495544067e-06
2014,5.22043758322e-06
2013,2.7244368362e-06
2012,8.66520055457e-06
2011,2.06024691765e-06
2010,3.22154475414e-06
2009,3.63146243182e-06
2008,7.17160661641e-06
2007,4.31232378767e-06
2006,4.53606926351e-06
2005,6.19339727547e-06
2004,5.36776689879e-06
2003,5.29766552482e-06
2002,4.07725968004e-06
2001,1.07950699897e-05
2000,9.55774170912e-06
1999,7.36939443328e-06
1998,8.2576068439e-06
1997,7.41027605534e-06
1996,6.56298812224e-06
1995,6.13371435967e-06
1994,9.23480688082e-06
1993,8.56044043742e-06
1992,1.1683192188e-05
1991,1.49258149052e-05
1990,9.94859808087e-06
1989,1.06478682448e-05
1988,1.69463714591e-05
1987,1.66947230763e-05
1986,2.01795644914e-05
1985,1.69381188412e-05
1984,1.85397501648e-05
1983,4.58817146456e-06
1982,3.17377515361e-06
1981,2.98050244714e-06
1980,4.91261441479e-06
1979,3.715707817e-06
1978,7.88047714576e-06
1977,3.67812279313e-06
1976,3.24268409934e-06
1975,4.15040371323e-06
1974,5.04275076003e-06
1973,4.79856152836e-06
1972,1.41520682186e-06
1971,2.8398078586e-06
1970,6.48601201426e-06
1969,5.4281567174e-06
1968,8.70580620497e-06
1967,7.11716311377e-06
1966,4.81319971891e-06
1965,6.25547843072e-06
1964,6.63172657001e-06
1963,9.10008155948e-06
1962,4.02221064719e-06
1961,4.93570625638e-06
1960,4.113723051e-06
1959,4.92326476456e-06
1958,4.75545915904e-06
1957,3.52216077519e-06
1956,5.32794145658e-06
1955,3.73153473359e-06
1954,2.93068490595e-06
1953,3.40665592434e-06
1952,3.72330523124e-06
1951,5.5207167657e-06
1950,7.28984420562e-06
1949,3.55493620667e-06
1948,8.73706300351e-06
1947,7.04171947956e-06
1946,3.54490927396e-06
1945,5.34369297278e-06
1944,3.89356802031e-06
1943,7.23988095003e-06
1942,7.23853708052e-06
1941,9.48573373545e-06
1940,3.40070893446e-05
1939,5.42203559986e-05
1938,7.20567300986e-05
1937,4.30805241669e-05
1936,5.18509059339e-05
1935,4.95555940509e-05
1934,4.583264549e-05
1933,4.54768516624e-05
1932,3.82701875239e-05
1931,3.17811607058e-05
1930,1.34424746642e-05
1929,1.20739659481e-05
1928,1.30026488834e-05
1927,1.24643323896e-05
1926,5.68481132111e-06
1925,5.49982148496e-06
1924,3.24267733971e-06
1923,9.17166607391e-06
1922,4.06022355591e-06
1921,3.2369216228e-06
1920,5.28454174656e-06
1919,3.59690881656e-06
1918,7.42055002601e-07
1917,1.81651172831e-06
1916,1.14353215355e-06
1915,3.89114142743e-06
1914,4.29512905521e-06
1913,8.90816020881e-06
1912,9.53232304831e-06
1911,2.57693836015e-06
1910,4.02279314597e-06
1909,5.17983614106e-06
1908,4.4624219448e-06
1907,8.10136864522e-06
1906,4.30893328048e-06
1905,4.46044824956e-06
1904,1.05063054249e-05
1903,5.02506987784e-05
1902,6.1625010442e-06
1901,2.74172598505e-06
1900,4.99604063779e-06
1899,2.57816014757e-06
1898,7.91119942354e-06
1897,4.53229910584e-06
1896,1.88772325474e-06
1895,1.31427114465e-06
1894,1.89051641346e-06
1893,3.82130312806e-06
1892,6.42775143114e-07
1891,1.23620014328e-06
1890,5.89909789684e-06
1889,2.74538791988e-06
1888,5.66428625037e-06
1887,3.33574618974e-06
1886,4.05081340333e-06
1885,2.41186923413e-05
1884,3.47578731796e-06
1883,4.27833720998e-06
1882,4.82218203737e-06
1881,2.80305785581e-06
1880,2.80846217739e-06
1879,3.0440751643e-06
1878,1.00950391856e-05
1877,5.05284007509e-06
1876,3.83414510706e-06
1875,0.0
1874,4.0520554051e-06
1873,6.59527936284e-06
1872,2.73152024125e-06
1871,5.67491799743e-06
1870,3.92219925557e-06
1869,5.15600126322e-06
1868,5.87604483422e-06
1867,3.42805036492e-06
1866,1.85733097824e-06
1865,5.54942036304e-06
1864,7.50707072224e-06
1863,1.77847019551e-06
1862,5.21311201935e-06
1861,3.38964091839e-06
1860,5.44185110007e-06
1859,9.03598672071e-06
1858,7.30570922912e-06
1857,3.52167857287e-06
1856,1.70912415932e-06
1855,3.50988031308e-06
1854,2.22704749179e-06
1853,3.93613231702e-06
1852,1.948915039e-06
1851,6.77392040644e-06
1850,5.14917149831e-06
1849,3.46648086329e-06
1848,7.08421000432e-06
1847,1.75930584828e-06
1846,4.13287182931e-06
1845,0.0
1844,4.05045243554e-06
1843,0.0
1842,0.0
1841,7.26168950468e-06
1840,4.39249586007e-06
1839,7.29077304067e-06
1838,0.0
1837,0.0
1836,0.0
1835,2.17092566099e-06
1834,4.1575028375e-06
1833,2.19657597737e-06
1832,4.42798219066e-06
1831,6.82592303544e-06
1830,9.09367852937e-06
1829,4.7842883969e-06
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
