date,freq
2017,0.0
2016,5.70346054617e-07
2015,1.15498514689e-06
2014,9.21253691156e-07
2013,1.21086081609e-06
2012,1.19520007649e-06
2011,2.94320988236e-06
2010,1.46433852461e-06
2009,3.07277590385e-06
2008,3.03414126079e-06
2007,3.16237077762e-06
2006,0.0
2005,1.40759028988e-06
2004,4.52022475688e-06
2003,1.4715737569e-06
2002,2.50908288003e-06
2001,9.81369999061e-07
2000,1.23325699473e-06
1999,1.47387888666e-06
1998,1.27040105291e-06
1997,2.25530140815e-06
1996,3.43775568308e-06
1995,3.98691433379e-06
1994,4.17055794618e-06
1993,1.93300267942e-06
1992,1.85868966627e-06
1991,3.28873887742e-06
1990,4.22815418437e-06
1989,2.33733693179e-06
1988,2.6899002316e-06
1987,4.73017153828e-06
1986,5.04489112284e-06
1985,3.95222772962e-06
1984,2.68692031374e-06
1983,3.72788931495e-06
1982,6.34755030722e-06
1981,6.259055139e-06
1980,3.93009153183e-06
1979,4.05349943673e-06
1978,3.08366497008e-06
1977,4.68124719125e-06
1976,2.9184156894e-06
1975,5.53387161764e-06
1974,5.04275076003e-06
1973,7.19784229253e-06
1972,4.24562046559e-06
1971,2.8398078586e-06
1970,2.88267200634e-06
1969,4.34252537392e-06
1968,3.40661981934e-06
1967,2.99670025843e-06
1966,2.96196905779e-06
1965,5.08257622496e-06
1964,5.85152344413e-06
1963,2.65419045485e-06
1962,6.43553703551e-06
1961,4.93570625638e-06
1960,5.7592122714e-06
1959,6.97462508313e-06
1958,5.62008809704e-06
1957,2.64162058139e-06
1956,9.32389754901e-06
1955,7.92951130888e-06
1954,9.76894968649e-06
1953,7.78664211279e-06
1952,7.97851120981e-06
1951,1.1593505208e-05
1950,6.24843789053e-06
1949,5.07848029524e-06
1948,4.36853150175e-06
1947,4.33336583358e-06
1946,1.00439096095e-05
1945,5.34369297278e-06
1944,5.84035203046e-06
1943,1.05307359273e-05
1942,6.68172653586e-06
1941,6.69581204856e-06
1940,6.80141786891e-06
1939,1.06204821028e-05
1938,1.375128437e-05
1937,8.71867750997e-06
1936,5.57075848876e-06
1935,6.46377313708e-06
1934,1.06094086782e-05
1933,9.09537033247e-06
1932,8.07926181061e-06
1931,8.66758928339e-06
1930,6.93805143958e-06
1929,9.99224768117e-06
1928,7.72032277451e-06
1927,1.10794065685e-05
1926,1.1843356919e-05
1925,1.23745983412e-05
1924,1.20442301189e-05
1923,8.6621290698e-06
1922,5.22028742903e-06
1921,1.86122993311e-05
1920,1.14498404509e-05
1919,1.61860896745e-05
1918,1.03887700364e-05
1917,9.68806255098e-06
1916,9.72002330519e-06
1915,9.44991489518e-06
1914,1.18116049018e-05
1913,1.39190003263e-05
1912,1.69463520859e-05
1911,1.08231411126e-05
1910,1.55883234406e-05
1909,1.50215248091e-05
1908,1.38830904949e-05
1907,1.72829197765e-05
1906,1.66201712247e-05
1905,1.14697240703e-05
1904,1.11629495139e-05
1903,1.6315161941e-05
1902,1.71180584561e-05
1901,1.50794929178e-05
1900,1.87351523917e-05
1899,1.35353407748e-05
1898,2.57113981265e-05
1897,2.58988520334e-05
1896,3.52375007551e-05
1895,2.29997450314e-05
1894,2.39465412372e-05
1893,3.50286120072e-05
1892,1.86404791503e-05
1891,2.47240028655e-05
1890,3.27727660936e-05
1889,3.56900429585e-05
1888,3.32776817209e-05
1887,2.93545664697e-05
1886,3.17313716594e-05
1885,1.41874660831e-05
1884,3.33675582525e-05
1883,2.56700232599e-05
1882,2.89330922242e-05
1881,3.15344008779e-05
1880,3.93184704834e-05
1879,2.73966764787e-05
1878,2.46767624536e-05
1877,4.29491406382e-05
1876,5.23999831298e-05
1875,4.61065033882e-05
1874,3.37671283759e-05
1873,4.22097879222e-05
1872,3.41440030156e-05
1871,4.39806144801e-05
1870,3.92219925557e-05
1869,6.57390161061e-05
1868,4.26013250481e-05
1867,2.39963525544e-05
1866,3.71466195648e-05
1865,3.51463289659e-05
1864,2.25212121667e-05
1863,3.73478741057e-05
1862,4.86557121806e-05
1861,1.86430250511e-05
1860,4.89766599006e-05
1859,4.87943282919e-05
1858,3.2875691531e-05
1857,4.75426607338e-05
1856,3.58916073458e-05
1855,3.68537432874e-05
1854,4.00868548522e-05
1853,2.75529262192e-05
1852,1.948915039e-05
1851,2.87891617273e-05
1850,3.26114194893e-05
1849,3.63980490646e-05
1848,3.18789450194e-05
1847,3.6945422814e-05
1846,3.09965387198e-05
1845,1.74988232041e-05
1844,2.83531670488e-05
1843,4.62832684133e-05
1842,4.56817081304e-05
1841,4.35701370281e-05
1840,4.17287106707e-05
1839,4.86051536044e-05
1838,3.27623582345e-05
1837,3.00491882096e-05
1836,2.64397548153e-05
1835,3.69057362369e-05
1834,4.78112826312e-05
1833,5.49143994342e-05
1832,2.21399109533e-05
1831,7.50851533899e-05
1830,3.41012944851e-05
1829,6.69800375567e-05
1828,5.73388517634e-05
1827,4.53216705568e-05
1826,5.80222160618e-05
1825,6.78733031674e-05
1824,1.98949546395e-05
1823,5.57215946507e-05
1822,7.73343369612e-05
1821,6.66955680795e-05
1820,2.6405603269e-05
1819,4.70120879831e-05
1818,4.69224723451e-05
1817,6.6188106599e-05
1816,2.66654222803e-05
1815,2.60693313868e-05
1814,8.47021416611e-05
1813,2.33523005908e-05
1812,5.19224278927e-05
