date,freq
2017,2.31446255576e-06
2016,3.4220763277e-06
2015,4.04244801412e-06
2014,1.84250738231e-06
2013,3.63258244827e-06
2012,3.28680021036e-06
2011,6.18074075295e-06
2010,4.1001478689e-06
2009,3.35211916784e-06
2008,1.37915511854e-06
2007,3.44985903014e-06
2006,1.70102597382e-06
2005,3.94125281166e-06
2004,1.41257023652e-06
2003,1.4715737569e-06
2002,4.07725968004e-06
2001,2.61698666416e-06
2000,2.77482823813e-06
1999,4.12686088264e-06
1998,3.4936028955e-06
1997,1.2887436618e-06
1996,2.18766270741e-06
1995,2.14680002588e-06
1994,4.76635193849e-06
1993,1.57401646753e-05
1992,3.71737933254e-06
1991,3.28873887742e-06
1990,4.97429904043e-07
1989,5.19408207065e-06
1988,5.11081044004e-06
1987,2.22596307684e-06
1986,2.24217383237e-06
1985,2.82301980687e-06
1984,7.52337687846e-06
1983,6.30873576376e-06
1982,4.0393501955e-06
1981,2.086351713e-06
1980,1.31003051061e-06
1979,2.70233295782e-06
1978,2.74103552896e-06
1977,3.34374799375e-06
1976,3.56695250927e-06
1975,3.11280278492e-06
1974,2.35328368801e-06
1973,4.79856152836e-06
1972,4.24562046559e-06
1971,2.48483187628e-06
1970,4.3240080095e-06
1969,1.44750845797e-06
1968,1.51405325304e-06
1967,1.49835012921e-06
1966,2.22147679334e-06
1965,1.56386960768e-06
1964,6.63172657001e-06
1963,3.03336051983e-06
1962,1.20666319416e-06
1961,2.87916198289e-06
1960,2.8796061357e-06
1959,2.871904446e-06
1958,3.45851575203e-06
1957,1.7610803876e-06
1956,2.66397072829e-06
1955,2.79865105019e-06
1954,1.46534245297e-06
1953,5.35331645254e-06
1952,4.25520597856e-06
1951,6.62486011884e-06
1950,8.3312505207e-06
1949,5.07848029524e-06
1948,6.00673081491e-06
1947,3.79169510438e-06
1946,5.31736391093e-06
1945,9.35146270236e-06
1944,4.54249602369e-06
1943,1.31634199091e-06
1942,5.56810544655e-06
1941,2.7899216869e-06
1940,5.10106340168e-06
1939,2.23589096901e-06
1938,9.35087337157e-06
1937,3.59004368057e-06
1936,1.28555965125e-06
1935,6.46377313708e-06
1934,5.94126885982e-06
1933,3.30740739363e-06
1932,5.9531402815e-06
1931,3.30193877463e-06
1930,6.07079500963e-06
1929,6.24515480073e-06
1928,4.06332777606e-06
1927,4.61641940355e-06
1926,2.84240566056e-06
1925,2.2915922854e-06
1924,3.70591695967e-06
1923,6.11444404927e-06
1922,1.74009580968e-06
1921,3.2369216228e-06
1920,5.28454174656e-06
1919,1.79845440828e-06
1918,5.93644002081e-06
1917,4.23852736605e-06
1916,5.14589469098e-06
1915,5.00289612098e-06
1914,5.36891131901e-07
1913,4.4540801044e-06
1912,3.1774410161e-06
1911,1.54616301609e-06
1910,2.01139657298e-06
1909,3.10790168464e-06
1908,9.91649321067e-07
1907,1.08018248603e-06
1906,1.23112379442e-06
1905,1.27441378559e-06
1904,0.0
1903,6.52606477641e-07
1902,3.42361169122e-06
1901,1.37086299253e-06
1900,1.24901015945e-06
1899,6.44540036893e-07
1898,6.59266618628e-07
1897,1.29494260167e-06
1896,1.88772325474e-06
1895,1.31427114465e-06
1894,0.0
1893,1.91065156403e-06
1892,0.0
1891,6.18100071638e-07
1890,1.96636596561e-06
1889,0.0
1888,0.0
1887,2.00144771385e-06
1886,6.75135567222e-07
1885,2.83749321662e-06
1884,1.39031492719e-06
1883,2.85222480665e-06
1882,3.44441574098e-06
1881,4.20458678372e-06
1880,7.02115544347e-07
1879,2.02938344287e-06
1878,1.12167102062e-06
1877,0.0
1876,1.27804836902e-06
1875,1.31732866823e-06
1874,0.0
1873,2.63811174514e-06
1872,1.36576012062e-06
1871,0.0
1870,0.0
1869,1.28900031581e-06
1868,1.46901120856e-06
1867,3.42805036492e-06
1866,0.0
1865,3.69961357536e-06
1864,0.0
1863,0.0
1862,3.4754080129e-06
1861,1.69482045919e-06
1860,0.0
1859,3.61439468829e-06
1858,1.82642730728e-06
1857,1.76083928644e-06
1856,3.41824831865e-06
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,5.08044030483e-06
1850,5.14917149831e-06
1849,1.73324043165e-06
1848,3.54210500216e-06
1847,1.75930584828e-06
1846,2.06643591466e-06
1845,1.74988232041e-06
1844,0.0
1843,0.0
1842,2.28408540652e-06
1841,4.84112633645e-06
1840,0.0
1839,7.29077304067e-06
1838,0.0
1837,2.31147601612e-06
1836,0.0
1835,0.0
1834,2.07875141875e-06
1833,2.19657597737e-06
1832,2.21399109533e-06
1831,2.27530767848e-06
1830,0.0
1829,7.17643259536e-06
1828,0.0
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,0.0
1823,5.0655995137e-06
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
