date,freq
2017,3.47169383364e-06
2016,1.42586513654e-06
2015,5.19743316101e-06
2014,1.84250738231e-06
2013,8.47602571263e-06
2012,2.68920017211e-06
2011,4.41481482354e-06
2010,5.27161868859e-06
2009,2.37441774388e-05
2008,3.86163433192e-06
2007,8.04967107032e-06
2006,5.38658225042e-06
2005,1.68910834785e-06
2004,4.23771070957e-06
2003,5.88629502758e-06
2002,1.56817680002e-06
2001,1.6356166651e-06
2000,3.39145673549e-06
1999,3.24253355064e-06
1998,3.4936028955e-06
1997,7.08809013989e-06
1996,3.12523243916e-06
1995,5.21365720572e-06
1994,5.3621459308e-06
1993,7.73201071767e-06
1992,5.04501480845e-06
1991,1.11311162005e-05
1990,2.48714952022e-06
1989,6.75230669185e-06
1988,1.23735410654e-05
1987,4.73017153828e-06
1986,1.2051684349e-05
1985,1.55266089378e-05
1984,9.40422109807e-06
1983,3.44112859842e-06
1982,2.30820011172e-06
1981,2.086351713e-06
1980,3.27507627653e-07
1979,5.06687429592e-06
1978,3.08366497008e-06
1977,4.68124719125e-06
1976,3.24268409934e-06
1975,3.11280278492e-06
1974,7.39603444804e-06
1973,1.02826318465e-06
1972,1.55672750405e-05
1971,2.8398078586e-06
1970,2.88267200634e-06
1969,5.06627960291e-06
1968,2.27107987956e-06
1967,1.91039641475e-05
1966,3.70246132224e-06
1965,5.8645110288e-06
1964,8.19213282178e-06
1963,2.65419045485e-06
1962,1.85021689771e-05
1961,7.40355938457e-06
1960,3.2909784408e-06
1959,4.10272063714e-06
1958,5.18777362804e-06
1957,5.28324116279e-06
1956,3.10796584967e-06
1955,2.79865105019e-06
1954,2.93068490595e-06
1953,3.40665592434e-06
1952,2.12760298928e-06
1951,2.20828670628e-06
1950,2.60351578772e-06
1949,5.07848029524e-07
1948,1.63819931316e-06
1947,0.0
1946,5.90818212326e-07
1945,0.0
1944,0.0
1943,0.0
1942,0.0
1941,5.5798433738e-07
1940,0.0
1939,5.58972742253e-07
1938,0.0
1937,5.12863382939e-07
1936,0.0
1935,3.87826388225e-06
1934,0.0
1933,4.13425924203e-07
1932,0.0
1931,1.23822704048e-06
1930,0.0
1929,0.0
1928,0.0
1927,4.61641940355e-07
1926,0.0
1925,0.0
1924,0.0
1923,0.0
1922,0.0
1921,0.0
1920,0.0
1919,0.0
1918,0.0
1917,0.0
1916,0.0
1915,0.0
1914,0.0
1913,0.0
1912,0.0
1911,0.0
1910,0.0
1909,0.0
1908,4.95824660534e-07
1907,0.0
1906,0.0
1905,0.0
1904,0.0
1903,0.0
1902,0.0
1901,0.0
1900,1.24901015945e-06
1899,0.0
1898,0.0
1897,0.0
1896,0.0
1895,0.0
1894,0.0
1893,0.0
1892,6.42775143114e-07
1891,0.0
1890,0.0
1889,0.0
1888,0.0
1887,0.0
1886,6.75135567222e-07
1885,0.0
1884,6.95157463593e-07
1883,7.13056201664e-07
1882,6.88883148196e-07
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,1.26321001877e-06
1876,0.0
1875,0.0
1874,0.0
1873,1.31905587257e-06
1872,0.0
1871,0.0
1870,1.30739975186e-06
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,5.46039303909e-06
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
