date,freq
2017,5.78615638939e-07
2016,5.41828751886e-06
2015,1.44373143361e-06
2014,6.14169127438e-07
2013,1.57411906092e-05
2012,2.98800019123e-06
2011,3.23753087059e-06
2010,5.85735409843e-07
2009,1.11737305595e-06
2008,7.72326866383e-06
2007,5.46227679771e-06
2006,3.96906060557e-06
2005,6.81273700302e-05
2004,3.44667137712e-05
2003,2.94314751379e-07
2002,6.27270720006e-07
2001,2.06087699803e-05
2000,3.08314248681e-06
1999,1.53283404212e-05
1998,3.20776265859e-05
1997,6.44371830899e-07
1996,2.81270919525e-06
1995,1.8401143079e-06
1994,1.57885407962e-05
1993,5.41240750237e-05
1992,5.31054190363e-07
1991,4.17416857519e-05
1990,5.47172894448e-06
1989,1.03881641413e-06
1988,6.45576055584e-06
1987,3.97890899985e-05
1986,1.76571189299e-05
1985,1.46797029957e-05
1984,8.06076094121e-06
1983,2.86760716535e-07
1982,8.65575041894e-07
1981,5.96100489428e-07
1980,6.2226449254e-06
1979,3.37791619728e-05
1978,5.1394416168e-06
1977,1.10343683794e-05
1976,5.18829455894e-06
1975,4.84213766543e-06
1974,1.68091692001e-06
1973,1.30246670055e-05
1972,7.78363752025e-06
1971,0.0
1970,1.44133600317e-06
1969,7.23754228986e-07
1968,2.53603919884e-05
1967,7.49175064607e-06
1966,1.40693530245e-05
1965,3.63599683786e-05
1964,3.90101562942e-07
1963,6.44589110463e-06
1962,5.22887384135e-06
1961,1.3573192205e-05
1960,5.3478399663e-05
1959,1.64108825485e-06
1958,1.29694340701e-06
1957,4.40270096899e-06
1956,0.0
1955,2.33220920849e-06
1954,9.76894968649e-07
1953,9.73330264099e-07
1952,1.59570224196e-06
1951,5.5207167657e-06
1950,2.08281263018e-06
1949,1.82825290629e-05
1948,7.09886369035e-06
1947,8.12506093796e-06
1946,2.65868195547e-05
1945,5.34369297278e-06
1944,6.48928003385e-06
1943,6.58170995457e-07
1942,1.55906952504e-05
1941,8.36976506069e-06
1940,1.30360509154e-05
1939,7.26664564929e-06
1938,8.25077062198e-06
1937,4.92348847622e-05
1936,3.85667895376e-06
1935,1.12038734376e-05
1934,9.33627963685e-06
1933,5.78796293885e-06
1932,1.44576263979e-05
1931,2.06371173414e-05
1930,1.6477872169e-05
1929,1.33229969082e-05
1928,4.6321936647e-05
1927,4.9395687618e-05
1926,2.79503223288e-05
1925,2.70407889677e-05
1924,1.48236678387e-05
1923,8.15259206569e-06
1922,8.12044711182e-06
1921,8.092304057e-07
1920,1.14498404509e-05
1919,5.39536322484e-06
1918,2.9682200104e-06
1917,1.81651172831e-06
1916,8.57649115163e-06
1915,3.33526408065e-05
1914,1.71805162208e-05
1913,1.61460403785e-05
1912,1.48280580751e-05
1911,1.23693041287e-05
1910,7.03988800544e-06
1909,4.50645744273e-05
1908,1.88413371003e-05
1907,1.67428285335e-05
1906,1.84668569163e-06
1905,4.46044824956e-06
1904,4.59650862338e-06
1903,7.8312777317e-06
1902,7.53194572069e-06
1901,6.16888346636e-06
1900,8.74307111614e-06
1899,3.86724022136e-06
1898,1.31853323726e-05
1897,9.06459821168e-06
1896,6.29241084912e-06
1895,1.97140671698e-06
1894,6.93189351603e-06
1893,5.73195469208e-06
1892,1.1569952576e-05
1891,1.17439013611e-05
1890,6.0957344934e-05
1889,2.4022144299e-05
1888,7.08035781296e-07
1887,3.26903126595e-05
1886,7.15643701255e-05
1885,7.09373304154e-07
1884,3.47578731796e-06
1883,1.42611240333e-06
1882,0.0
1881,1.40152892791e-06
1880,0.0
1879,3.0440751643e-06
1878,1.79467363299e-05
1877,1.01056801502e-05
1876,0.0
1875,2.63465733647e-06
1874,8.10411081021e-06
1873,5.27622349027e-06
1872,0.0
1871,0.0
1870,2.61479950371e-06
1869,1.28900031581e-06
1868,0.0
1867,0.0
1866,0.0
1865,1.84980678768e-06
1864,1.87676768056e-06
1863,3.55694039101e-06
1862,8.68852003225e-06
1861,0.0
1860,1.08837022001e-05
1859,5.42159203243e-06
1858,0.0
1857,3.52167857287e-06
1856,3.41824831865e-06
1855,0.0
1854,4.00868548522e-05
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,6.93296172658e-06
1848,0.0
1847,0.0
1846,2.06643591466e-06
1845,1.74988232041e-06
1844,0.0
1843,0.0
1842,6.85225621956e-06
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,2.20331290128e-06
1835,2.17092566099e-06
1834,0.0
1833,2.19657597737e-06
1832,0.0
1831,5.91579996405e-05
1830,5.22886515439e-05
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,5.65610859729e-06
1824,0.0
1823,0.0
1822,0.0
1821,5.55796400663e-06
1820,0.0
1819,5.87651099789e-06
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
