date,freq
2017,0.0
2016,0.0
2015,8.66238860168e-07
2014,3.07084563719e-07
2013,9.08145612067e-07
2012,5.97600038246e-07
2011,8.82962964707e-07
2010,2.6358093443e-06
2009,1.11737305595e-06
2008,5.51662047416e-07
2007,2.87488252511e-07
2006,5.67008657939e-07
2005,1.68910834785e-06
2004,1.69508428383e-06
2003,5.88629502758e-07
2002,6.27270720006e-07
2001,0.0
2000,0.0
1999,1.17910310932e-06
1998,9.52800789681e-07
1997,3.22185915449e-07
1996,1.56261621958e-06
1995,3.06685717983e-07
1994,5.95793992311e-07
1993,2.76143239917e-07
1992,2.65527095181e-07
1991,2.52979913648e-07
1990,7.46144856065e-07
1989,1.29852051766e-06
1988,5.3798004632e-07
1987,8.34736153814e-07
1986,2.24217383237e-06
1985,8.46905942061e-07
1984,1.61215218824e-06
1983,2.86760716535e-07
1982,1.15410005586e-06
1981,2.086351713e-06
1980,3.27507627653e-07
1979,1.68895809864e-06
1978,1.37051776448e-06
1977,2.34062359563e-06
1976,6.48536819867e-07
1975,1.72933488051e-06
1974,1.68091692001e-06
1973,3.08478955394e-06
1972,3.53801705466e-07
1971,0.0
1970,1.80167000396e-06
1969,1.44750845797e-06
1968,3.7851331326e-07
1967,1.87293766152e-06
1966,2.96196905779e-06
1965,1.17290220576e-06
1964,2.34060937765e-06
1963,2.27502038987e-06
1962,2.81554745304e-06
1961,2.05654427349e-06
1960,2.4682338306e-06
1959,8.20544127427e-07
1958,1.29694340701e-06
1957,3.96243087209e-06
1956,2.21997560691e-06
1955,2.33220920849e-06
1954,5.37292232757e-06
1953,3.89332105639e-06
1952,3.72330523124e-06
1951,2.20828670628e-06
1950,2.08281263018e-06
1949,1.52354408857e-06
1948,1.63819931316e-06
1947,1.08334145839e-06
1946,5.90818212326e-07
1945,1.33592324319e-06
1944,3.24464001692e-06
1943,2.63268398183e-06
1942,3.34086326793e-06
1941,4.46387469904e-06
1940,4.53427857927e-06
1939,2.79486371127e-06
1938,9.35087337157e-06
1937,4.61577044645e-06
1936,7.71335790752e-06
1935,4.30918209138e-06
1934,7.2143979012e-06
1933,7.02824071146e-06
1932,6.37836458732e-06
1931,8.25484693656e-06
1930,1.08407053743e-05
1929,7.49418576088e-06
1928,9.34565388493e-06
1927,7.84791298603e-06
1926,9.00095125843e-06
1925,1.09996429699e-05
1924,7.41183391933e-06
1923,1.78337951437e-05
1922,9.86054292149e-06
1921,8.092304057e-06
1920,1.8495896113e-05
1919,2.24806801035e-05
1918,2.37457600832e-05
1917,6.6605430038e-06
1916,8.00472507486e-06
1915,7.22640550808e-06
1914,7.51647584661e-06
1913,1.22487202871e-05
1912,1.05914700537e-05
1911,6.70003973639e-06
1910,4.52564228921e-06
1909,6.21580336928e-06
1908,6.44572058694e-06
1907,8.10136864522e-06
1906,1.60046093275e-05
1905,9.55810339192e-06
1904,6.56644089054e-06
1903,5.87345829877e-06
1902,2.05416701473e-06
1901,6.16888346636e-06
1900,6.24505079724e-06
1899,7.08994040583e-06
1898,1.0548265898e-05
1897,6.47471300835e-06
1896,6.29241084912e-06
1895,8.54276244023e-06
1894,5.04137710257e-06
1893,1.27376770935e-06
1892,3.85665085868e-06
1891,7.41720085965e-06
1890,6.55455321871e-06
1889,2.74538791988e-06
1888,4.24821468778e-06
1887,3.33574618974e-06
1886,5.40108453778e-06
1885,5.67498643324e-06
1884,3.47578731796e-06
1883,6.41750581497e-06
1882,7.57771463016e-06
1881,7.00764463954e-06
1880,7.72327098781e-06
1879,4.05876688574e-06
1878,2.24334204124e-06
1877,7.57926011263e-06
1876,1.27804836902e-05
1875,7.9039720094e-06
1874,2.70137027007e-06
1873,1.05524469805e-05
1872,6.82880060312e-06
1871,2.83745899872e-06
1870,2.61479950371e-06
1869,3.86700094742e-06
1868,2.93802241711e-06
1867,8.57012591229e-06
1866,3.71466195648e-06
1865,7.39922715072e-06
1864,1.87676768056e-06
1863,3.55694039101e-06
1862,8.68852003225e-06
1861,5.08446137758e-06
1860,1.81395036669e-06
1859,3.61439468829e-06
1858,3.65285461456e-06
1857,0.0
1856,3.41824831865e-06
1855,5.26482046962e-06
1854,0.0
1853,0.0
1852,3.897830078e-06
1851,6.77392040644e-06
1850,3.43278099887e-06
1849,1.73324043165e-06
1848,1.77105250108e-06
1847,0.0
1846,2.06643591466e-06
1845,1.74988232041e-06
1844,2.02522621777e-06
1843,0.0
1842,6.85225621956e-06
1841,0.0
1840,0.0
1839,4.86051536044e-06
1838,5.46039303909e-06
1837,2.31147601612e-06
1836,0.0
1835,6.51277698298e-06
1834,4.1575028375e-06
1833,2.19657597737e-06
1832,4.42798219066e-06
1831,2.27530767848e-06
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,1.28938257915e-05
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,6.66635557007e-06
1815,0.0
1814,0.0
1813,0.0
1812,0.0
