date,freq
2017,9.83646586197e-06
2016,8.55519081925e-06
2015,1.01061200353e-05
2014,9.51962147528e-06
2013,1.08977473448e-05
2012,8.66520055457e-06
2011,1.03012345882e-05
2010,3.63155954103e-05
2009,7.54226812763e-06
2008,9.9299168535e-06
2007,1.58118538881e-05
2006,1.36082077905e-05
2005,1.01346500871e-05
2004,1.0170505703e-05
2003,1.17725900552e-05
2002,1.25454144001e-05
2001,1.27578099878e-05
2000,9.55774170912e-06
1999,1.44440130892e-05
1998,2.35024194788e-05
1997,1.22430647871e-05
1996,1.25009297567e-05
1995,1.56409716172e-05
1994,1.10221888578e-05
1993,1.29787322761e-05
1992,1.00900296169e-05
1991,1.46728349916e-05
1990,1.1938317697e-05
1989,9.34934772717e-06
1988,1.58704113664e-05
1987,1.14080607688e-05
1986,1.00897822457e-05
1985,9.88056932405e-06
1984,1.12850653177e-05
1983,1.08969072283e-05
1982,8.9442754329e-06
1981,8.64345709671e-06
1980,1.40828279891e-05
1979,1.41872480286e-05
1978,1.30199187626e-05
1977,1.17031179781e-05
1976,1.10251259377e-05
1975,2.07520185661e-05
1974,1.21026018241e-05
1973,1.54239477697e-05
1972,1.73362835678e-05
1971,1.3134111346e-05
1970,1.08100200238e-05
1969,8.68505074784e-06
1968,1.0219859458e-05
1967,9.73927583989e-06
1966,1.03668917023e-05
1965,1.68115982826e-05
1964,7.80203125884e-06
1963,8.34174142952e-06
1962,1.04577476827e-05
1961,8.63748594866e-06
1960,9.0501907122e-06
1959,5.33353682828e-06
1958,5.18777362804e-06
1957,6.60405145349e-06
1956,4.8839463352e-06
1955,6.53018578379e-06
1954,8.30360723352e-06
1953,4.37998618844e-06
1952,7.44661046249e-06
1951,8.83314682512e-06
1950,7.28984420562e-06
1949,3.55493620667e-06
1948,2.7303321886e-06
1947,4.87503656277e-06
1946,3.54490927396e-06
1945,3.33980810799e-06
1944,1.29785600677e-06
1943,1.31634199091e-06
1942,6.12491599121e-06
1941,2.7899216869e-06
1940,7.93498751373e-06
1939,3.35383645352e-06
1938,5.50051374798e-06
1937,3.59004368057e-06
1936,3.42815907001e-06
1935,3.87826388225e-06
1934,3.39501077704e-06
1933,2.06712962102e-06
1932,1.27567291746e-06
1931,5.36565050877e-06
1930,3.90265393476e-06
1929,4.16343653382e-06
1928,8.12665555211e-07
1927,5.0780613439e-06
1926,1.42120283028e-06
1925,6.41645839912e-06
1924,4.63239619958e-06
1923,5.60490704516e-06
1922,4.06022355591e-06
1921,4.0461520285e-06
1920,0.0
1919,2.69768161242e-06
1918,2.2261650078e-06
1917,6.05503909436e-06
1916,4.00236253743e-06
1915,3.89114142743e-06
1914,5.90580245091e-06
1913,1.67028003915e-06
1912,3.70701451879e-06
1911,5.1538767203e-06
1910,6.53703886219e-06
1909,5.69781975517e-06
1908,8.92484388961e-06
1907,1.08018248603e-06
1906,1.84668569163e-06
1905,1.27441378559e-06
1904,1.31328817811e-06
1903,1.30521295528e-06
1902,6.84722338245e-07
1901,4.11258897758e-06
1900,6.24505079724e-07
1899,1.28908007379e-06
1898,3.29633309314e-06
1897,1.9424139025e-06
1896,0.0
1895,3.28567786163e-06
1894,1.89051641346e-06
1893,6.36883854676e-07
1892,1.28555028623e-06
1891,2.47240028655e-06
1890,3.27727660936e-06
1889,1.37269395994e-06
1888,2.83214312518e-06
1887,5.33719390359e-06
1886,1.35027113444e-06
1885,7.09373304154e-07
1884,8.34188956311e-06
1883,2.13916860499e-06
1882,2.75553259278e-06
1881,2.80305785581e-06
1880,0.0
1879,5.07345860717e-06
1878,2.24334204124e-06
1877,0.0
1876,2.55609673804e-06
1875,1.31732866823e-06
1874,2.70137027007e-06
1873,2.63811174514e-06
1872,4.09728036187e-06
1871,4.25618849808e-06
1870,1.30739975186e-06
1869,1.28900031581e-06
1868,1.46901120856e-06
1867,1.71402518246e-06
1866,7.42932391295e-06
1865,3.69961357536e-06
1864,1.87676768056e-06
1863,1.77847019551e-06
1862,3.4754080129e-06
1861,3.38964091839e-06
1860,1.81395036669e-06
1859,7.22878937657e-06
1858,0.0
1857,3.52167857287e-06
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,3.38696020322e-06
1850,1.71639049944e-06
1849,1.73324043165e-06
1848,1.77105250108e-06
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
