date,freq
2017,5.78615638939e-07
2016,1.14069210923e-06
2015,1.15498514689e-06
2014,4.60626845578e-06
2013,2.42172163218e-06
2012,1.19520007649e-06
2011,2.06024691765e-06
2010,1.75720622953e-06
2009,1.39671631993e-06
2008,2.75831023708e-07
2007,5.74976505023e-07
2006,8.50512986908e-07
2005,1.68910834785e-06
2004,1.13005618922e-06
2003,2.06020325965e-06
2002,1.88181216002e-06
2001,6.54246666041e-07
2000,9.24942746044e-07
1999,5.89551554662e-07
1998,6.35200526454e-07
1997,6.44371830899e-07
1996,1.56261621958e-06
1995,1.22674287193e-06
1994,1.19158798462e-06
1993,2.76143239917e-07
1992,1.85868966627e-06
1991,1.01191965459e-06
1990,1.74100466415e-06
1989,5.19408207065e-07
1988,2.6899002316e-07
1987,8.34736153814e-07
1986,1.12108691619e-06
1985,8.46905942061e-07
1984,2.68692031374e-07
1983,2.86760716535e-07
1982,5.77050027929e-07
1981,2.98050244714e-07
1980,3.27507627653e-07
1979,6.75583239455e-07
1978,6.8525888224e-07
1977,6.6874959875e-07
1976,1.29707363973e-06
1975,6.91733952205e-07
1974,1.00855015201e-06
1973,1.71377197441e-06
1972,1.41520682186e-06
1971,1.06492794698e-06
1970,3.60334000792e-07
1969,1.08563134348e-06
1968,7.57026626519e-07
1967,4.49505038764e-06
1966,3.70246132224e-07
1965,2.34580441152e-06
1964,2.34060937765e-06
1963,2.27502038987e-06
1962,6.03331597079e-06
1961,3.29047083759e-06
1960,1.2341169153e-06
1959,3.28217650971e-06
1958,1.29694340701e-06
1957,1.7610803876e-06
1956,5.32794145658e-06
1955,9.32883683398e-07
1954,1.46534245297e-06
1953,3.40665592434e-06
1952,4.25520597856e-06
1951,1.10414335314e-06
1950,3.64492210281e-06
1949,4.06278423619e-06
1948,1.63819931316e-06
1947,3.25002437518e-06
1946,1.18163642465e-06
1945,2.00388486479e-06
1944,1.29785600677e-06
1943,2.63268398183e-06
1942,7.23853708052e-06
1941,1.67395301214e-06
1940,2.26713928964e-06
1939,5.58972742253e-07
1938,7.70071924718e-06
1937,2.5643169147e-06
1936,5.57075848876e-06
1935,2.58550925483e-06
1934,2.97063442991e-06
1933,8.26851848407e-07
1932,2.97657014075e-06
1931,2.06371173414e-06
1930,8.2389360845e-06
1929,2.49806192029e-06
1928,3.65699499845e-06
1927,3.69313552284e-06
1926,3.31613993732e-06
1925,8.24973222744e-06
1924,3.70591695967e-06
1923,3.56675902874e-06
1922,6.38035130214e-06
1921,4.8553824342e-06
1920,4.4037847888e-06
1919,4.4961360207e-06
1918,5.19438501821e-06
1917,3.63302345662e-06
1916,7.43295899808e-06
1915,2.77938673388e-06
1914,4.83202018711e-06
1913,3.3405600783e-06
1912,6.35488203221e-06
1911,7.21542740842e-06
1910,4.52564228921e-06
1909,3.10790168464e-06
1908,4.95824660534e-06
1907,3.7806387011e-06
1906,7.38674276653e-06
1905,5.09765514236e-06
1904,6.56644089054e-06
1903,5.87345829877e-06
1902,1.30097244266e-05
1901,5.4834519701e-06
1900,6.24505079724e-06
1899,1.41798808117e-05
1898,1.0548265898e-05
1897,6.47471300835e-06
1896,1.13263395284e-05
1895,7.88562686791e-06
1894,6.93189351603e-06
1893,8.91637396546e-06
1892,1.22127277192e-05
1891,8.03530093129e-06
1890,8.52091918433e-06
1889,1.09815516795e-05
1888,1.41607156259e-05
1887,1.20086862831e-05
1886,6.076220105e-06
1885,4.96561312908e-06
1884,6.25641717234e-06
1883,8.55667441996e-06
1882,9.64436407474e-06
1881,1.05114669593e-05
1880,1.26380797982e-05
1879,1.01469172143e-05
1878,1.23383812268e-05
1877,2.14745703191e-05
1876,1.78926771663e-05
1875,9.22130067763e-06
1874,1.35068513503e-05
1873,1.05524469805e-05
1872,1.36576012062e-05
1871,1.41872949936e-05
1870,5.22959900742e-06
1869,5.15600126322e-06
1868,1.02830784599e-05
1867,6.85610072983e-06
1866,1.85733097824e-05
1865,7.39922715072e-06
1864,1.87676768056e-05
1863,1.24492913686e-05
1862,1.73770400645e-05
1861,1.01689227552e-05
1860,7.25580146676e-06
1859,2.5300762818e-05
1858,7.30570922912e-06
1857,1.23258750051e-05
1856,1.19638691153e-05
1855,1.05296409392e-05
1854,6.68114247536e-06
1853,9.84033079256e-06
1852,1.3642405273e-05
1851,2.20152413209e-05
1850,1.37311239955e-05
1849,8.66620215823e-06
1848,8.8552625054e-06
1847,3.51861169657e-06
1846,6.19930774397e-06
1845,1.74988232041e-06
1844,2.02522621777e-06
1843,9.25665368267e-06
1842,9.13634162609e-06
1841,9.68225267291e-06
1840,6.58874379011e-06
1839,7.29077304067e-06
1838,1.09207860782e-05
1837,9.2459040645e-06
1836,1.10165645064e-05
1835,1.0854628305e-05
1834,1.45512599312e-05
1833,1.09828798868e-05
1832,8.85596438131e-06
1831,9.10123071392e-06
1830,1.36405177941e-05
1829,1.67450093892e-05
1828,5.21262288758e-06
1827,0.0
1826,1.28938257915e-05
1825,1.13122171946e-05
1824,2.48686932994e-05
1823,1.51967985411e-05
1822,0.0
1821,1.66738920199e-05
1820,6.60140081725e-06
1819,1.17530219958e-05
1818,5.86530904313e-06
1817,1.20342011998e-05
1816,6.66635557007e-06
1815,1.30346656934e-05
1814,1.30310987171e-05
1813,0.0
1812,6.49030348659e-06
