date,freq
2017,0.0
2016,0.0
2015,0.0
2014,0.0
2013,0.0
2012,2.98800019123e-07
2011,0.0
2010,0.0
2009,0.0
2008,2.75831023708e-07
2007,0.0
2006,0.0
2005,0.0
2004,0.0
2003,2.94314751379e-07
2002,0.0
2001,3.2712333302e-07
2000,0.0
1999,0.0
1998,0.0
1997,3.22185915449e-07
1996,0.0
1995,0.0
1994,0.0
1993,0.0
1992,7.96581285544e-07
1991,0.0
1990,2.48714952022e-07
1989,0.0
1988,2.6899002316e-07
1987,2.78245384605e-07
1986,0.0
1985,0.0
1984,5.37384062747e-07
1983,2.86760716535e-07
1982,0.0
1981,0.0
1980,3.27507627653e-07
1979,0.0
1978,0.0
1977,3.34374799375e-07
1976,0.0
1975,3.45866976102e-07
1974,6.72366768004e-07
1973,1.37101757953e-06
1972,3.53801705466e-07
1971,0.0
1970,0.0
1969,3.61877114493e-07
1968,0.0
1967,3.74587532303e-07
1966,0.0
1965,0.0
1964,3.90101562942e-07
1963,3.79170064978e-07
1962,8.04442129439e-07
1961,8.22617709396e-07
1960,3.2909784408e-06
1959,0.0
1958,1.29694340701e-06
1957,4.40270096899e-07
1956,1.77598048553e-06
1955,4.66441841699e-07
1954,1.46534245297e-06
1953,4.86665132049e-07
1952,2.12760298928e-06
1951,2.20828670628e-06
1950,1.56210947263e-06
1949,1.77746810333e-05
1948,1.09213287544e-06
1947,1.08334145839e-06
1946,0.0
1945,2.00388486479e-06
1944,6.48928003385e-07
1943,1.31634199091e-06
1942,3.89767381259e-06
1941,0.0
1940,1.47364053826e-05
1939,1.67691822676e-06
1938,8.25077062198e-06
1937,4.61577044645e-06
1936,6.85631814002e-06
1935,4.74010030052e-06
1934,1.14581613725e-05
1933,1.32296295745e-05
1932,8.50448611643e-07
1931,1.40332397922e-05
1930,2.60176928984e-06
1929,5.82881114735e-06
1928,1.62533111042e-05
1927,8.77119686674e-06
1926,3.78987421407e-06
1925,2.74991074248e-06
1924,9.26479239916e-07
1923,1.52861101232e-06
1922,5.22028742903e-06
1921,5.6646128399e-06
1920,1.93766530707e-05
1919,1.8883771287e-05
1918,7.42055002601e-07
1917,1.9376125102e-05
1916,4.5741286142e-06
1915,1.05616695887e-05
1914,1.0737822638e-05
1913,1.78163204176e-05
1912,5.29573502684e-06
1911,5.66926439233e-06
1910,1.25712285811e-05
1909,7.25177059749e-06
1908,1.04123178712e-05
1907,1.83631022625e-05
1906,1.84668569163e-06
1905,1.33813447487e-05
1904,9.84966133581e-06
1903,8.48388420934e-06
1902,1.36944467649e-06
1901,6.85431496263e-07
1900,6.24505079724e-07
1899,3.22270018447e-06
1898,1.45038656098e-05
1897,1.1654483415e-05
1896,2.51696433965e-06
1895,6.57135572326e-07
1894,7.56206565385e-06
1893,1.91065156403e-06
1892,1.41410531485e-05
1891,6.18100071638e-07
1890,5.89909789684e-06
1889,3.43173489985e-06
1888,1.27446440633e-05
1887,9.34008933128e-06
1886,7.42649123944e-06
1885,3.54686652077e-06
1884,0.0
1883,2.13916860499e-06
1882,6.88883148196e-07
1881,8.40917356744e-06
1880,1.40423108869e-06
1879,2.02938344287e-06
1878,2.24334204124e-06
1877,0.0
1876,7.66829021411e-06
1875,3.9519860047e-06
1874,2.70137027007e-06
1873,7.91433523541e-06
1872,0.0
1871,0.0
1870,0.0
1869,3.86700094742e-06
1868,2.93802241711e-06
1867,1.71402518246e-06
1866,0.0
1865,2.58972950275e-05
1864,0.0
1863,1.77847019551e-06
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,1.75494015654e-06
1854,0.0
1853,0.0
1852,0.0
1851,1.69348010161e-06
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,2.02522621777e-06
1843,0.0
1842,0.0
1841,0.0
1840,2.19624793004e-06
1839,2.43025768022e-06
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
