date,freq
2017,2.08301630018e-05
2016,2.70914375943e-05
2015,2.85858823856e-05
2014,2.21100885878e-05
2013,2.48226467298e-05
2012,2.03184013004e-05
2011,2.20740741177e-05
2010,2.05007393445e-05
2009,2.37441774388e-05
2008,2.23423129204e-05
2007,2.5873942726e-05
2006,2.49483809493e-05
2005,3.01224322034e-05
2004,3.47492278185e-05
2003,2.94314751379e-05
2002,3.07362652803e-05
2001,2.15901399793e-05
2000,2.15819974077e-05
1999,3.33096628384e-05
1998,2.63608218478e-05
1997,3.47960788685e-05
1996,3.59401730504e-05
1995,3.25086861062e-05
1994,3.93224034925e-05
1993,3.67270509089e-05
1992,4.2484335229e-05
1991,2.88397101559e-05
1990,3.53175231871e-05
1989,3.68779827016e-05
1988,4.94941642614e-05
1987,4.45192615367e-05
1986,4.59645635637e-05
1985,4.85559406782e-05
1984,5.18575620551e-05
1983,5.21904504093e-05
1982,5.28000775555e-05
1981,6.58691040818e-05
1980,6.15714339987e-05
1979,7.70164892979e-05
1978,0.000114780862775
1977,8.72718226369e-05
1976,9.2740765241e-05
1975,9.64968863325e-05
1974,8.90885967605e-05
1973,9.83705113313e-05
1972,8.45586076063e-05
1971,9.54885392454e-05
1970,8.86421641948e-05
1969,8.82980159363e-05
1968,8.81936019895e-05
1967,7.75396191868e-05
1966,8.62673488081e-05
1965,8.48399262166e-05
1964,8.6992648536e-05
1963,8.758828501e-05
1962,8.52708657205e-05
1961,9.21331834524e-05
1960,8.47426948506e-05
1959,8.08235965516e-05
1958,8.43013214556e-05
1957,8.32110483139e-05
1956,9.7678926704e-05
1955,7.83622294054e-05
1954,8.30360723352e-05
1953,0.000109499654711
1952,8.03170128454e-05
1951,7.83941780729e-05
1950,0.000102057818879
1949,0.000106140238171
1948,0.000101568357416
1947,9.47923776095e-05
1946,8.62594589996e-05
1945,9.88583199964e-05
1944,0.000129785600677
1943,0.0001013583333
1942,0.000125282372547
1941,0.000112154851813
1940,9.06855715855e-05
1939,0.000100056120863
1938,9.62589905897e-05
1937,9.23154089291e-05
1936,0.000128127445242
1935,0.00013013729916
1934,0.000108640344865
1933,0.000119480092095
1932,0.000128842964664
1931,0.000116806084152
1930,0.000121415900193
1929,0.000133646312736
1928,0.000126775826613
1927,0.000112178991506
1926,0.000124118380511
1925,0.000124662620326
1924,0.00010793483145
1923,0.000112098140903
1922,0.000104405748581
1921,0.000125430712883
1920,0.000110975376678
1919,0.000142977125458
1918,0.000135054010473
1917,7.93210121361e-05
1916,0.000111494384971
1915,0.000116734242823
1914,9.12714924231e-05
1913,8.35140019576e-05
1912,7.09628493596e-05
1911,8.09158645087e-05
1910,7.39188240571e-05
1909,6.42299681492e-05
1908,6.09864332456e-05
1907,7.88533214801e-05
1906,7.75607990486e-05
1905,7.90136547065e-05
1904,4.99049507681e-05
1903,5.74293700324e-05
1902,5.61472317361e-05
1901,4.79802047384e-05
1900,6.05769927333e-05
1899,4.8340502767e-05
1898,3.95559971177e-05
1897,3.75533354484e-05
1896,3.46082596702e-05
1895,3.08853718993e-05
1894,3.84405004071e-05
1893,3.56654958618e-05
1892,3.72809583006e-05
1891,1.91611022208e-05
1890,3.86718639904e-05
1889,3.56900429585e-05
1888,2.90294670331e-05
1887,4.26975512287e-05
1886,3.84827273316e-05
1885,3.90155317285e-05
1884,4.17094478156e-05
1883,4.92008779148e-05
1882,3.92663394472e-05
1881,3.29359298058e-05
1880,2.45740440521e-05
1879,4.26170523003e-05
1878,4.15018277629e-05
1877,4.92651907321e-05
1876,2.42829190114e-05
1875,3.82025313788e-05
1874,4.0520554051e-05
1873,4.48478996673e-05
1872,3.96070434981e-05
1871,3.40495079846e-05
1870,3.26849937964e-05
1869,6.83170167377e-05
1868,4.26013250481e-05
1867,3.94225791965e-05
1866,4.82906054342e-05
1865,4.43953629043e-05
1864,3.19050505695e-05
1863,3.02339933236e-05
1862,5.21311201935e-05
1861,2.37274864287e-05
1860,6.34882628342e-05
1859,6.14447097009e-05
1858,6.39249557548e-05
1857,5.6346857166e-05
1856,6.3237593895e-05
1855,7.72173668878e-05
1854,6.01302822783e-05
1853,6.10100509139e-05
1852,7.01609414039e-05
1851,7.28196443692e-05
1850,4.29097624859e-05
1849,7.79958194241e-05
1848,5.49026275335e-05
1847,4.75012579037e-05
1846,5.37273337811e-05
1845,8.0494586739e-05
1844,0.000103286537106
1843,9.44178675632e-05
1842,0.000102783843293
1841,0.00010892534257
1840,0.000107616148572
1839,0.000145815460813
1838,7.91756990668e-05
1837,0.00015486889308
1836,0.000110165645064
1835,0.000115059060033
1834,0.000162142610662
1833,0.000123008254733
1832,0.000121769510243
1831,0.000147894999101
1830,0.000211428025808
1829,0.000181802959082
1828,0.000148559752296
1827,0.000243603979243
1826,0.000283664167413
1825,0.000390271493213
1824,0.000283503103613
1823,0.00027354237374
1822,0.000386671684806
1821,0.000333477840398
1820,0.000224447627787
1819,0.000311455082888
1818,0.000258073597898
1817,0.000192547219197
1816,0.000206657022672
1815,0.000189002652554
1814,0.000241075326266
1813,0.000217954805514
1812,0.000194709104598
