date,freq
2017,1.15723127788e-06
2016,8.55519081925e-06
2015,1.06836126087e-05
2014,1.53542281859e-06
2013,3.93529765229e-06
2012,9.26280059282e-06
2011,1.17728395294e-06
2010,3.22154475414e-06
2009,2.23474611189e-06
2008,3.86163433192e-06
2007,2.01241776758e-06
2006,2.26803463175e-06
2005,2.19584085221e-05
2004,1.97759833113e-06
2003,1.11839605524e-05
2002,1.88181216002e-06
2001,3.59835666322e-06
2000,3.08314248681e-06
1999,5.89551554662e-07
1998,7.62240631745e-06
1997,3.86623098539e-06
1996,3.12523243916e-06
1995,1.22674287193e-06
1994,1.04263948654e-05
1993,2.48528915925e-06
1992,3.45185223736e-06
1991,2.78277905013e-06
1990,2.48714952022e-07
1989,5.71349027772e-06
1988,1.21045510422e-05
1987,7.23437999972e-06
1986,1.96190210333e-06
1985,5.92834159443e-06
1984,2.95561234511e-06
1983,5.44845361416e-06
1982,2.88525013965e-06
1981,1.78830146828e-06
1980,5.24012204244e-06
1979,7.76920725374e-06
1978,1.61035837326e-05
1977,6.6874959875e-06
1976,5.18829455894e-06
1975,8.64667440256e-06
1974,9.07695136805e-06
1973,5.826824713e-06
1972,1.0614051164e-06
1971,3.90473580558e-06
1970,5.76534401267e-06
1969,6.51378806088e-06
1968,9.46283283149e-06
1967,1.27359760983e-05
1966,1.33288607601e-05
1965,1.4465793871e-05
1964,9.75253907355e-06
1963,1.09959318844e-05
1962,2.21221585596e-05
1961,9.04879480336e-06
1960,3.2909784408e-06
1959,1.60006104848e-05
1958,1.55633208841e-05
1957,7.92486174418e-06
1956,9.7678926704e-06
1955,1.67919063012e-05
1954,4.39602735892e-06
1953,2.04399355461e-05
1952,1.54251216723e-05
1951,1.60100786205e-05
1950,4.6863284179e-06
1949,6.60202438382e-06
1948,1.96583917579e-05
1947,2.22084998971e-05
1946,1.24071824588e-05
1945,8.68350108076e-06
1944,1.36274880711e-05
1943,1.77706168773e-05
1942,2.39428534202e-05
1941,1.6181545784e-05
1940,4.36424313255e-05
1939,2.01230187211e-05
1938,2.03519008675e-05
1937,4.2054797401e-05
1936,8.48469369827e-05
1935,1.8529482993e-05
1934,4.07401293244e-05
1933,2.35652776796e-05
1932,7.22881319896e-06
1931,6.19113520242e-06
1930,1.04070771594e-05
1929,2.12335263225e-05
1928,4.87599333127e-06
1927,1.01561226878e-05
1926,8.05348270491e-06
1925,8.24973222744e-06
1924,1.85295847983e-05
1923,2.54768502053e-06
1922,1.04405748581e-05
1921,2.02307601425e-05
1920,0.0
1919,4.4961360207e-06
1918,7.42055002601e-07
1917,6.05503909436e-07
1916,7.43295899808e-06
1915,1.66763204033e-06
1914,4.83202018711e-06
1913,1.1135200261e-06
1912,3.1774410161e-06
1911,2.57693836015e-06
1910,1.50854742974e-05
1909,1.55395084232e-06
1908,2.9749479632e-06
1907,2.70045621507e-06
1906,0.0
1905,0.0
1904,2.62657635622e-06
1903,2.61042591057e-06
1902,0.0
1901,6.85431496263e-07
1900,6.24505079724e-07
1899,6.44540036893e-07
1898,1.31853323726e-06
1897,1.29494260167e-06
1896,3.14620542456e-06
1895,4.59994900628e-06
1894,1.26034427564e-05
1893,2.5475354187e-06
1892,4.4994260018e-06
1891,0.0
1890,6.55455321871e-07
1889,0.0
1888,0.0
1887,6.67149237949e-07
1886,7.42649123944e-06
1885,0.0
1884,0.0
1883,0.0
1882,0.0
1881,0.0
1880,0.0
1879,0.0
1878,0.0
1877,0.0
1876,0.0
1875,0.0
1874,0.0
1873,0.0
1872,0.0
1871,0.0
1870,0.0
1869,0.0
1868,0.0
1867,0.0
1866,0.0
1865,0.0
1864,0.0
1863,0.0
1862,0.0
1861,0.0
1860,0.0
1859,0.0
1858,0.0
1857,0.0
1856,0.0
1855,0.0
1854,0.0
1853,0.0
1852,0.0
1851,0.0
1850,0.0
1849,0.0
1848,0.0
1847,0.0
1846,0.0
1845,0.0
1844,0.0
1843,0.0
1842,0.0
1841,0.0
1840,0.0
1839,0.0
1838,0.0
1837,0.0
1836,0.0
1835,0.0
1834,0.0
1833,0.0
1832,0.0
1831,0.0
1830,0.0
1829,0.0
1828,0.0
1827,0.0
1826,0.0
1825,0.0
1824,0.0
1823,0.0
1822,0.0
1821,0.0
1820,0.0
1819,0.0
1818,0.0
1817,0.0
1816,0.0
1815,0.0
1814,0.0
1813,0.0
1812,0.0
