date,freq
2017,0.0
2016,0.0
2015,2.88746286723e-07
2014,3.07084563719e-07
2013,0.0
2012,2.98800019123e-07
2011,5.88641976471e-07
2010,2.92867704922e-07
2009,5.58686527973e-07
2008,1.37915511854e-06
2007,1.14995301005e-06
2006,5.67008657939e-07
2005,5.63036115952e-07
2004,5.65028094609e-07
2003,2.94314751379e-07
2002,0.0
2001,1.30849333208e-06
2000,0.0
1999,2.94775777331e-07
1998,6.35200526454e-07
1997,3.22185915449e-07
1996,9.37569731749e-07
1995,9.2005715395e-07
1994,8.93690988467e-07
1993,2.76143239917e-07
1992,1.06210838073e-06
1991,5.05959827296e-07
1990,9.94859808087e-07
1989,1.5582246212e-06
1988,1.07596009264e-06
1987,1.16863061534e-05
1986,1.68163037428e-06
1985,8.46905942061e-07
1984,1.07476812549e-06
1983,8.60282149604e-07
1982,8.65575041894e-07
1981,0.0
1980,3.27507627653e-07
1979,1.35116647891e-06
1978,2.05577664672e-06
1977,1.00312439813e-06
1976,1.29707363973e-06
1975,1.03760092831e-06
1974,2.68946707201e-06
1973,6.85508789765e-07
1972,2.83041364373e-06
1971,1.77487991163e-06
1970,5.04467601109e-06
1969,1.44750845797e-06
1968,5.67769969889e-06
1967,6.36798804916e-06
1966,2.22147679334e-06
1965,2.73677181344e-06
1964,1.56040625177e-06
1963,5.3083809097e-06
1962,6.03331597079e-06
1961,3.70177969228e-06
1960,1.6454892204e-06
1959,7.79516921056e-06
1958,2.59388681402e-06
1957,3.52216077519e-06
1956,2.21997560691e-06
1955,3.73153473359e-06
1954,3.41913239027e-06
1953,1.45999539615e-06
1952,1.59570224196e-06
1951,0.0
1950,4.6863284179e-06
1949,3.04708817715e-06
1948,3.27639862632e-06
1947,3.79169510438e-06
1946,3.54490927396e-06
1945,3.33980810799e-06
1944,1.75210560914e-05
1943,8.55622294094e-06
1942,8.35215816983e-06
1941,6.13782771118e-06
1940,1.41696205602e-05
1939,2.06819914634e-05
1938,2.20020549919e-06
1937,2.76946226787e-05
1936,7.71335790752e-06
1935,3.01642746397e-06
1934,1.3155666761e-05
1933,1.28162036503e-05
1932,7.65403750478e-06
1931,9.90581632388e-06
1930,3.42566289829e-05
1929,3.28911486172e-05
1928,3.41319533189e-05
1927,2.76985164213e-05
1926,5.96905188717e-05
1925,5.77481255921e-05
1924,3.65959299767e-05
1923,1.27384251026e-05
1922,1.68209261602e-05
1921,2.4276912171e-06
1920,2.11381669862e-05
1919,9.89149924555e-06
1918,7.42055002601e-06
1917,2.42201563774e-06
1916,8.00472507486e-06
1915,4.4470187742e-06
1914,1.0737822638e-05
1913,4.4540801044e-06
1912,7.41402903757e-06
1911,2.57693836015e-06
1910,6.53703886219e-06
1909,6.73378698338e-06
1908,7.437369908e-06
1907,1.40423723184e-05
1906,9.23342845817e-06
1905,5.09765514236e-06
1904,1.11629495139e-05
1903,1.10943101199e-05
1902,1.09555574119e-05
1901,1.23377669327e-05
1900,3.74703047835e-06
1899,9.02356051651e-06
1898,1.97779985588e-06
1897,4.53229910584e-06
1896,1.19555806133e-05
1895,7.22849129558e-06
1894,1.63844755834e-05
1893,5.09507083741e-06
1892,3.21387571557e-06
1891,1.23620014328e-05
1890,5.89909789684e-06
1889,6.8634697997e-06
1888,1.84089303137e-05
1887,1.06743878072e-05
1886,1.48529824789e-05
1885,4.96561312908e-06
1884,6.95157463593e-06
1883,7.13056201664e-06
1882,1.03332472229e-05
1881,1.75191115988e-05
1880,7.72327098781e-06
1879,4.05876688574e-06
1878,1.57033942887e-05
1877,1.51585202253e-05
1876,1.53365804282e-05
1875,1.18559580141e-05
1874,1.35068513503e-05
1873,2.11048939611e-05
1872,1.77548815681e-05
1871,1.41872949936e-06
1870,1.30739975186e-05
1869,3.86700094742e-06
1868,8.81406725133e-06
1867,5.14207554737e-06
1866,5.57199293471e-06
1865,3.69961357536e-06
1864,1.87676768056e-06
1863,1.77847019551e-06
1862,3.4754080129e-06
1861,1.18637432144e-05
1860,5.44185110007e-06
1859,1.80719734414e-06
1858,0.0
1857,3.52167857287e-06
1856,0.0
1855,5.26482046962e-06
1854,1.33622849507e-05
1853,0.0
1852,5.84674511699e-06
1851,5.08044030483e-06
1850,1.71639049944e-06
1849,3.46648086329e-06
1848,1.94815775119e-05
1847,1.75930584828e-06
1846,0.0
1845,0.0
1844,2.02522621777e-06
1843,0.0
1842,0.0
1841,0.0
1840,4.39249586007e-06
1839,2.43025768022e-05
1838,5.46039303909e-06
1837,4.62295203225e-06
1836,0.0
1835,2.17092566099e-06
1834,3.53387741187e-05
1833,8.78630390947e-06
1832,6.64197328598e-06
1831,9.10123071392e-06
1830,2.27341963234e-06
1829,9.56857679381e-06
1828,0.0
1827,2.8326044098e-05
1826,0.0
1825,0.0
1824,9.94747731975e-06
1823,1.01311990274e-05
1822,0.0
1821,2.22318560265e-05
1820,2.6405603269e-05
1819,4.11355769852e-05
1818,2.34612361725e-05
1817,1.20342011998e-05
1816,2.66654222803e-05
1815,1.95519985401e-05
1814,5.21243948684e-05
1813,1.55682003939e-05
1812,6.49030348659e-06
